seq,window,n_frames,zero_rate,lowconf_rate
fall-18,"post[0.2,0.5]",0,,
fall-18,"post[0.5,1]",0,,
fall-18,"post[1,2]",0,,
fall-19,"pre[-2,-0.5]",32,0.0,0.0
fall-19,"pre[-0.5,-0.3]",6,0.0,0.0
fall-19,"pre[-0.3,-0.2]",3,0.0,0.0
fall-19,"pre[-0.2,0]",6,0.3333,0.3333
fall-19,"post[0,0.2]",4,0.5,0.75
fall-19,"post[0.2,0.5]",0,,
fall-19,"post[0.5,1]",0,,
fall-19,"post[1,2]",0,,
fall-20,"pre[-2,-0.5]",25,0.0,0.0
fall-20,"pre[-0.5,-0.3]",6,0.0,0.0
fall-20,"pre[-0.3,-0.2]",3,0.0,0.0
fall-20,"pre[-0.2,0]",6,0.0,0.0
fall-20,"post[0,0.2]",6,0.0,0.0
fall-20,"post[0.2,0.5]",9,0.4444,0.4444
fall-20,"post[0.5,1]",15,0.1333,0.1333
fall-20,"post[1,2]",30,0.1667,0.2
fall-21,"pre[-2,-0.5]",27,0.0,0.0
fall-21,"pre[-0.5,-0.3]",6,0.0,0.0
fall-21,"pre[-0.3,-0.2]",3,0.0,0.0
fall-21,"pre[-0.2,0]",6,0.8333,0.8333
fall-21,"post[0,0.2]",5,0.8,0.8
fall-21,"post[0.2,0.5]",0,,
fall-21,"post[0.5,1]",0,,
fall-21,"post[1,2]",0,,
fall-22,"pre[-2,-0.5]",9,0.0,0.0
fall-22,"pre[-0.5,-0.3]",6,0.0,0.0
fall-22,"pre[-0.3,-0.2]",3,0.0,0.0
fall-22,"pre[-0.2,0]",6,0.0,0.0
fall-22,"post[0,0.2]",6,0.0,0.0
fall-22,"post[0.2,0.5]",9,0.8889,0.8889
fall-22,"post[0.5,1]",15,1.0,1.0
fall-22,"post[1,2]",1,0.0,1.0
fall-23,"pre[-2,-0.5]",32,0.0,0.0
fall-23,"pre[-0.5,-0.3]",6,0.0,0.0
fall-23,"pre[-0.3,-0.2]",3,0.0,0.0
fall-23,"pre[-0.2,0]",6,0.6667,0.6667
fall-23,"post[0,0.2]",6,0.5,0.5
fall-23,"post[0.2,0.5]",9,0.7778,0.8889
fall-23,"post[0.5,1]",13,0.8462,1.0
fall-23,"post[1,2]",0,,
fall-24,"pre[-2,-0.5]",13,0.0,0.0
fall-24,"pre[-0.5,-0.3]",6,0.0,0.0
fall-24,"pre[-0.3,-0.2]",3,0.0,0.0
fall-24,"pre[-0.2,0]",6,0.0,0.0
fall-24,"post[0,0.2]",6,0.1667,0.1667
fall-24,"post[0.2,0.5]",3,0.0,0.0
fall-24,"post[0.5,1]",0,,
fall-24,"post[1,2]",0,,
fall-25,"pre[-2,-0.5]",45,0.0,0.0
fall-25,"pre[-0.5,-0.3]",6,0.0,0.0
fall-25,"pre[-0.3,-0.2]",3,0.0,0.0
fall-25,"pre[-0.2,0]",6,0.1667,0.1667
fall-25,"post[0,0.2]",4,0.25,1.0
fall-25,"post[0.2,0.5]",0,,
fall-25,"post[0.5,1]",0,,
fall-25,"post[1,2]",0,,
fall-26,"pre[-2,-0.5]",20,0.0,0.0
fall-26,"pre[-0.5,-0.3]",6,0.0,0.0
fall-26,"pre[-0.3,-0.2]",3,0.0,0.0
fall-26,"pre[-0.2,0]",6,0.0,0.0
fall-26,"post[0,0.2]",3,0.0,0.0
fall-26,"post[0.2,0.5]",0,,
fall-26,"post[0.5,1]",0,,
fall-26,"post[1,2]",0,,
fall-27,"pre[-2,-0.5]",45,0.0,0.0
fall-27,"pre[-0.5,-0.3]",6,0.0,0.0
fall-27,"pre[-0.3,-0.2]",3,0.0,0.0
fall-27,"pre[-0.2,0]",6,0.3333,0.3333
fall-27,"post[0,0.2]",3,0.0,1.0
fall-27,"post[0.2,0.5]",0,,
fall-27,"post[0.5,1]",0,,
fall-27,"post[1,2]",0,,
fall-28,"pre[-2,-0.5]",33,0.0,0.0
fall-28,"pre[-0.5,-0.3]",6,0.0,0.0
fall-28,"pre[-0.3,-0.2]",3,0.0,0.0
fall-28,"pre[-0.2,0]",6,0.0,0.1667
fall-28,"post[0,0.2]",6,0.5,0.6667
fall-28,"post[0.2,0.5]",2,0.5,1.0
fall-28,"post[0.5,1]",0,,
fall-28,"post[1,2]",0,,
fall-29,"pre[-2,-0.5]",45,0.0,0.0
fall-29,"pre[-0.5,-0.3]",6,0.0,0.0
fall-29,"pre[-0.3,-0.2]",3,0.0,0.0
fall-29,"pre[-0.2,0]",6,0.5,0.5
fall-29,"post[0,0.2]",6,0.6667,0.8333
fall-29,"post[0.2,0.5]",9,1.0,1.0
fall-29,"post[0.5,1]",13,1.0,1.0
fall-29,"post[1,2]",0,,
fall-30,"pre[-2,-0.5]",32,0.0,0.0
fall-30,"pre[-0.5,-0.3]",6,0.0,0.0
fall-30,"pre[-0.3,-0.2]",3,0.0,0.0
fall-30,"pre[-0.2,0]",6,0.0,0.0
fall-30,"post[0,0.2]",0,,
fall-30,"post[0.2,0.5]",0,,
fall-30,"post[0.5,1]",0,,
fall-30,"post[1,2]",0,,
